[ブロードソード] スキル1 | カットオフ | 上段 | (350/0/2)
[ランス] スキル1 | ランジ | 上段 | (200/100/1)
[ランス] スキル2 | ディフェンス | 中段 | (100/150/1)
[ランス] スキル3 | ペネトレイト | 下段 | (300/0/1)
[ランス] スキル4 | ランスチャージ | 奥義 | (250/100/1)
[ランス] スキル5 | ファランクス | 無形 | (-50/250/1)
[レイピア] スキル1 | トゥシュ | 上段 | (200/100/2)
[レイピア] スキル2 | パラード | 中段 | (150/150/2)
[レイピア] スキル3 | ファント | 下段 | (350/0/2)
[レイピア] スキル4 | コントルアタック | 奥義 | (250/0/1)
[レイピア] スキル5 | フェイント | 無形 | (200/150/2)
[ダガー] スキル1 | カット | 上段 | (250/50/2)
[ダガー] スキル2 | スタブ | 中段 | (300/50/1)
[ダガー] スキル3 | ピアース | 下段 | (300/0/2)
[ダガー] スキル4 | ドッジ | 奥義 | (-100/0/3)
[ダガー] スキル5 | アンブッシュ | 無形 | (700/0/1)
[メイス] スキル1 | ストライク | 上段 | (350/-50/2)
[メイス] スキル2 | ブレイク | 中段 | (250/50/2)
[メイス] スキル3 | プリヴェント | 下段 | (0/200/1)
[メイス] スキル4 | デモリッシュ | 奥義 | (350/-150/1)
[メイス] スキル5 | パルバライズ | 奥義 | (100/150/1)
[ジャマダハル] スキル1 | ヘッドリッパー | 上段 | (250/0/2)
[ジャマダハル] スキル2 | スティング | 中段 | (350/0/2)
[ジャマダハル] スキル3 | トゥスライス | 下段 | (250/0/2)
[ジャマダハル] スキル4 | デッドリースタブ | 奥義 | (350/-50/1)
[ジャマダハル] スキル5 | ジョストブロー | 無形 | (450/0/1)
[棒] スキル1 | 回し打ち | 上段 | (400/0/1)
[棒] スキル2 | 打突 | 中段 | (200/100/1)
[棒] スキル3 | 足払い | 下段 | (200/50/1)
[棒] スキル4 | 跳躍 | 奥義 | (300/50/1)
[棒] スキル5 | 見得 | 無形 | (150/150/2)
[ツインハチェット] スキル1 | ノーザンスコール | 上段 | (400/-50/2)
[ツインハチェット] スキル2 | フューリースピン | 中段 | (450/-100/2)
[ツインハチェット] スキル3 | ツヴァイト | 下段 | (350/0/1)
[ツインハチェット] スキル4 | アースメギン | 下段 | (600/-100/1)
[ツインハチェット] スキル5 | ラグナロク | 無形 | (450/50/2)
[ショーテル] スキル1 | エッジ | 上段 | (400/-50/2)
[ショーテル] スキル2 | ポーク | 中段 | (200/200/1)
[ショーテル] スキル3 | ツイン | 中段 | (500/-100/1)
[ショーテル] スキル4 | フック | 下段 | (100/200/1)
[ショーテル] スキル5 | フラッター | 奥義 | (200/200/1)
[ウォーハンマー] スキル1 | パウンド | 中段 | (300/0/2)
[ウォーハンマー] スキル2 | ブラスト | 下段 | (450/-100/1)
[ウォーハンマー] スキル3 | デストラクション | 奥義 | (400/-100/1)
[ウォーハンマー] スキル4 | キープスウェイ | 無形 | (0/250/1)
[ウォーハンマー] スキル5 | ヘヴィブロー | 無形 | (550/0/1)
[網] スキル1 | カバーオール | 上段 | (150/150/1)
[網] スキル2 | ウェイトスロー | 中段 | (300/0/2)
[網] スキル3 | トラップ | 下段 | (150/150/1)
[網] スキル4 | ハープーン | 奥義 | (150/-100/2)
[網] スキル5 | ネットスイング | 奥義 | (100/100/1)
[手甲鉤] スキル1 | 熊手 | 上段 | (300/0/2)
[手甲鉤] スキル2 | 貫手 | 上段 | (150/50/2)
[手甲鉤] スキル3 | 跳手 | 上段 | (450/-100/2)
[手甲鉤] スキル4 | とんぼ返り | 下段 | (100/200/1)
[手甲鉤] スキル5 | いづな落し | 奥義 | (100/100/2)
[十手] スキル1 | 鉢割 | 上段 | (350/50/2)
[十手] スキル2 | 柔術 | 上段 | (200/100/1)
[十手] スキル3 | 柄撃 | 下段 | (300/50/2)
[十手] スキル4 | 無刀取り | 下段 | (100/200/1)
[十手] スキル5 | 刃引 | 無形 | (200/250/1)
[十文字槍] スキル1 | 虎狩 | 上段 | (450/-100/1)
[十文字槍] スキル2 | 千鳥 | 中段 | (250/50/2)
[十文字槍] スキル3 | 朧月 | 下段 | (300/-50/1)
[十文字槍] スキル4 | 無骨 | 奥義 | (350/0/1)
[十文字槍] スキル5 | 無影 | 無形 | (200/100/2)
[サイス] スキル1 | ハーヴェスト | 上段 | (450/-100/1)
[サイス] スキル2 | クロップ | 中段 | (350/0/1)
[サイス] スキル3 | イールド | 下段 | (300/50/1)
[サイス] スキル4 | リープ | 奥義 | (300/150/1)
[サイス] スキル5 | ギャザー | 無形 | (150/150/2)
[ウィップ] スキル1 | ヴァイン | 上段 | (300/0/2)
[ウィップ] スキル2 | スナップ | 中段 | (200/50/3)
[ウィップ] スキル3 | アイヴィ | 下段 | (150/200/1)
[ウィップ] スキル4 | ビートダウン | 奥義 | (200/100/1)
[ウィップ] スキル5 | ローピング | 無形 | (100/200/3)
[グレートソード] スキル1 | バーティカル | 上段 | (550/-100/2)
[グレートソード] スキル2 | ショブ | 中段 | (250/50/2)
[グレートソード] スキル3 | ローカット | 下段 | (350/0/1)
[グレートソード] スキル4 | ハッカペル | 無形 | (600/-100/1)
[グレートソード] スキル5 | ハードバッシュ | 無形 | (300/150/1)
[バッティングラム] スキル1 | 威嚇 | 上段 | (200/50/3)
[バッティングラム] スキル2 | 点鐘 | 中段 | (200/0/1)
[バッティングラム] スキル3 | 衝撃 | 下段 | (250/0/2)
[バッティングラム] スキル4 | 破城槌 | 奥義 | (400/-200/1)
[バッティングラム] スキル5 | ラムアタック | 無形 | (300/100/2)
[旗槍] スキル1 | ロウワー | 上段 | (300/150/1)
[旗槍] スキル2 | ウェービング | 中段 | (250/200/1)
[旗槍] スキル3 | ホイスト | 下段 | (350/50/1)
[旗槍] スキル4 | ウォークライ | 無形 | (0/300/1)
[旗槍] スキル5 | クルセイド | 無形 | (550/0/1)
[輪刀] スキル1 | 上弦 | 上段 | (200/50/2)
[輪刀] スキル2 | 払暁 | 中段 | (300/50/3)
[輪刀] スキル3 | 日輪 | 奥義 | (400/-400/1)
[輪刀] スキル4 | 月輪 | 奥義 | (0/100/1)
[輪刀] スキル5 | 廻天 | 無形 | (500/-200/2)
[フレイル] スキル1 | ためる | 上段 | (0/150/3)
[フレイル] スキル2 | 振り回す | 中段 | (300/-50/2)
[フレイル] スキル3 | 振り下ろす | 下段 | (300/0/1)
[フレイル] スキル4 | フルスイング | 奥義 | (300/0/1)
[フレイル] スキル5 | 骨砕き | 無形 | (300/100/1)
[鉄パイプ] スキル1 | ゴツン | 上段 | (250/0/3)
[鉄パイプ] スキル2 | ブゥンッッ | 中段 | (250/100/1)
[鉄パイプ] スキル3 | ギャギャリギャリ | 下段 | (500/0/1)
[鉄パイプ] スキル4 | ゲバルト | 奥義 | (250/-50/1)
[鉄パイプ] スキル5 | 示威 | 無形 | (200/50/3)
[鉄扇] スキル1 | 敲撃 | 上段 | (250/50/2)
[鉄扇] スキル2 | 戯曲 | 中段 | (300/0/1)
[鉄扇] スキル3 | 夾撃 | 下段 | (450/-50/1)
[鉄扇] スキル4 | 幽玄 | 奥義 | (300/0/1)
[鉄扇] スキル5 | 乱舞 | 無形 | (100/200/2)
[酒瓶] スキル1 | 頭蓋骨割り | 上段 | (350/-50/3)
[酒瓶] スキル2 | ヤクザキック | 中段 | (350/-50/2)
[酒瓶] スキル3 | 掴みかかる | 中段 | (150/150/2)
[酒瓶] スキル4 | 乾杯 | 奥義 | (100/50/3)
[酒瓶] スキル5 | 宴会 | 無形 | (150/150/1)
[大錫杖] スキル1 | 五不還天 | 上段 | (300/150/1)
[大錫杖] スキル2 | 善見城 | 上段 | (350/0/1)
[大錫杖] スキル3 | 叫喚地獄 | 下段 | (350/0/1)
[大錫杖] スキル4 | 焦熱地獄 | 下段 | (300/150/1)
[大錫杖] スキル5 | 有頂天 | 奥義 | (50/250/1)
[バルディッシュ] スキル1 | 兜割り | 上段 | (500/-100/1)
[バルディッシュ] スキル2 | 水平薙ぎ払い | 中段 | (400/-50/1)
[バルディッシュ] スキル3 | 柄頭突き | 下段 | (350/0/1)
[バルディッシュ] スキル4 | ハードインパクト | 奥義 | (300/-100/1)
[バルディッシュ] スキル5 | ステップ | 無形 | (-200/250/2)
[ハルバード] スキル1 | ストライキング | 上段 | (450/0/1)
[ハルバード] スキル2 | スピアヘッド | 中段 | (300/100/1)
[ハルバード] スキル3 | バットスラスト | 下段 | (350/50/2)
[ハルバード] スキル4 | リカバリバッシュ | 奥義 | (100/300/1)
[ハルバード] スキル5 | ピッキング | 無形 | (250/50/2)
[ラウンドシールド] スキル1 | シールドスマイト | 上段 | (200/150/2)
[ラウンドシールド] スキル2 | チャージバッシュ | 中段 | (200/150/2)
[ラウンドシールド] スキル3 | エッジストライク | 下段 | (350/-50/1)
[ラウンドシールド] スキル4 | カウンター | 下段 | (150/100/1)
[ラウンドシールド] スキル5 | パリィ | 無形 | (-200/800/1)
[スティレット] スキル1 | ブレーンスルー | 上段 | (300/50/2)
[スティレット] スキル2 | ミセリコルデ | 中段 | (600/-100/2)
[スティレット] スキル3 | リペル | 中段 | (150/150/1)
[スティレット] スキル4 | アーマーピアス | 下段 | (300/50/2)
[スティレット] スキル5 | スローイング | 無形 | (600/-50/1)
[ビームサーベル] スキル1 | レーザーカッター | 上段 | (400/-100/1)
[ビームサーベル] スキル2 | ソニックウェーブ | 中段 | (400/-100/1)
[ビームサーベル] スキル3 | ビームスラッシュ | 奥義 | (550/-100/1)
[ビームサーベル] スキル4 | エナジーチャージ | 無形 | (-200/50/1)
[ビームサーベル] スキル5 | フォースシールド | 無形 | (-200/150/1)
[蛇行剣] スキル1 | サーペントテール | 上段 | (500/-50/1)
[蛇行剣] スキル2 | フランベルジュ | 中段 | (450/-50/1)
[蛇行剣] スキル3 | クリス | 下段 | (450/-50/1)
[蛇行剣] スキル4 | ヴァイパーバイト | 無形 | (400/50/2)
[蛇行剣] スキル5 | ミラージュ | 無形 | (-100/250/2)
[メガホン] スキル1 | シャウト | 上段 | (350/0/1)
[メガホン] スキル2 | テラーノイズ | 中段 | (150/200/2)
[メガホン] スキル3 | ソニック | 中段 | (400/-50/1)
[メガホン] スキル4 | ハウリング | 下段 | (300/50/2)
[メガホン] スキル5 | ディストーション | 無形 | (200/200/2)
[バット] スキル1 | マサカリ | 上段 | (350/-50/1)
[バット] スキル2 | バント | 中段 | (100/100/3)
[バット] スキル3 | 強振 | 下段 | (400/-100/1)
[バット] スキル4 | ホームラン | 奥義 | (350/-150/1)
[バット] スキル5 | デッドスイング | 無形 | (600/-200/3)
[ギロッチン] スキル1 | 執行 | 上段 | (1250/100/1)
[ギロッチン] スキル2 | 慈愛 | 中段 | (450/100/1)
[ギロッチン] スキル3 | 待機 | 無形 | (-200/150/1)
[ギロッチン] スキル4 | 休憩 | 無形 | (-100/100/1)
[ギロッチン] スキル5 | 準備 | 無形 | (0/50/1)
[チェーンソー] スキル1 | ランバージャック | 中段 | (350/-50/2)
[チェーンソー] スキル2 | カッティング | 中段 | (250/100/2)
[チェーンソー] スキル3 | キックバック | 下段 | (400/-100/2)
[チェーンソー] スキル4 | エンジンカッター | 奥義 | (50/0/3)
[チェーンソー] スキル5 | アイドリング | 無形 | (50/150/2)
[大太刀] スキル1 | 流星 | 上段 | (550/-150/1)
[大太刀] スキル2 | 大嵐 | 中段 | (300/0/1)
[大太刀] スキル3 | 地吹雪 | 下段 | (350/0/1)
[大太刀] スキル4 | 燕返し | 奥義 | (300/-100/1)
[大太刀] スキル5 | 死合 | 無形 | (550/-100/2)
[スタンロッド] スキル1 | パルスインパクト | 中段 | (450/0/1)
[スタンロッド] スキル2 | エレキショック | 下段 | (450/50/1)
[スタンロッド] スキル3 | パニッシュメント | 奥義 | (400/50/1)
[スタンロッド] スキル4 | アキュムレート | 無形 | (0/0/1)
[スタンロッド] スキル5 | ハイボルテージ | 無形 | (100/100/1)
[バイブル] スキル1 | 啓示 | 上段 | (300/0/2)
[バイブル] スキル2 | 平手 | 上段 | (25/25/1)
[バイブル] スキル3 | 堕ちる明星 | 下段 | (500/-100/2)
[バイブル] スキル4 | ブレスオブゴッド | 奥義 | (300/-100/1)
[バイブル] スキル5 | 神の加護 | 無形 | (-200/200/2)
[徒手空拳] スキル1 | 穿弓腿 | 上段 | (250/-100/4)
[徒手空拳] スキル2 | 鉄山靠 | 中段 | (250/-100/4)
[徒手空拳] スキル3 | 前掃腿 | 下段 | (250/-100/4)
[徒手空拳] スキル4 | 化勁 | 奥義 | (-200/500/1)
[徒手空拳] スキル5 | 寸打 | 無形 | (1000/-100/1)
[エクセキューター] スキル1 | スライス | 上段 | (400/50/1)
[エクセキューター] スキル2 | バッシュ | 中段 | (250/50/1)
[エクセキューター] スキル3 | ヴァーディクト | 奥義 | (-200/-200/1)
[エクセキューター] スキル4 | プレイ | 無形 | (-200/200/1)
[エクセキューター] スキル5 | エクセキュート | 無形 | (1500/0/1)
[バール] スキル1 | プライバー | 上段 | (0/200/1)
[バール] スキル2 | レヴァレイジ | 中段 | (250/0/2)
[バール] スキル3 | ネイルバイト | 下段 | (300/0/1)
[バール] スキル4 | メタルクロウ | 奥義 | (400/-200/1)
[バール] スキル5 | ブラジェオン | 無形 | (400/0/2)
[銃剣] スキル1 | バットストック | 上段 | (50/200/1)
[銃剣] スキル2 | バヨネット | 上段 | (400/0/2)
[銃剣] スキル3 | パルチザン | 中段 | (350/0/2)
[銃剣] スキル4 | クリアリング | 下段 | (150/150/2)
[銃剣] スキル5 | 威嚇射撃 | 無形 | (0/200/2)
[シャムシール] スキル1 | クレセント | 上段 | (250/100/2)
[シャムシール] スキル2 | ハンドスナップ | 中段 | (300/0/2)
[シャムシール] スキル3 | ブラッドバス | 下段 | (550/-100/2)
[シャムシール] スキル4 | クリンチカット | 奥義 | (150/150/1)
[シャムシール] スキル5 | 二段蹴り | 無形 | (200/100/1)
[多節棍] スキル1 | 白虎 | 上段 | (400/-50/1)
[多節棍] スキル2 | 麒麟 | 上段 | (250/100/2)
[多節棍] スキル3 | 青龍 | 中段 | (300/0/2)
[多節棍] スキル4 | 玄武 | 下段 | (50/200/2)
[多節棍] スキル5 | 朱雀 | 奥義 | (200/50/1)
[ポケットナイフ] スキル1 | ブレイド | 上段 | (248/48/2)
[ポケットナイフ] スキル2 | チップ | 中段 | (298/48/1)
[ポケットナイフ] スキル3 | キック | 下段 | (248/0/3)
[ポケットナイフ] スキル4 | 脅す | 奥義 | (98/98/1)
[ポケットナイフ] スキル5 | 舐める | 無形 | (-98/148/3)
[偃月刀] スキル1 | 山崩 | 上段 | (550/-100/1)
[偃月刀] スキル2 | 颶風 | 中段 | (300/0/1)
[偃月刀] スキル3 | 龍牙 | 下段 | (200/50/1)
[偃月刀] スキル4 | 逆鱗 | 奥義 | (300/0/1)
[偃月刀] スキル5 | 臥龍 | 奥義 | (0/250/1)
[ステッキ] スキル1 | サバットキック | 上段 | (300/0/2)
[ステッキ] スキル2 | ウッドペッカー | 中段 | (250/0/3)
[ステッキ] スキル3 | ハリアー | 下段 | (300/0/2)
[ステッキ] スキル4 | バックステップ | 下段 | (-200/200/3)
[ステッキ] スキル5 | バリツ | 奥義 | (100/100/2)
[トンファー] スキル1 | 骨法 | 中段 | (300/50/2)
[トンファー] スキル2 | 双突 | 中段 | (400/0/1)
[トンファー] スキル3 | 膝打 | 下段 | (250/100/2)
[トンファー] スキル4 | 不動 | 下段 | (100/250/1)
[トンファー] スキル5 | 警棒投げ | 無形 | (500/0/2)
[卜ソワァ―] スキル1 | トンファーキック | 中段 | (200/-20/2)
[卜ソワァ―] スキル2 | トンファー影歩 | 下段 | (0/5/3)
[卜ソワァ―] スキル3 | トンファービーム | 奥義 | (250/-250/1)
[卜ソワァ―] スキル4 | トンファー百裂脚 | 奥義 | (300/-500/1)
[卜ソワァ―] スキル5 | トンファーソード | 無形 | (500/-100/1)
[マチェット] スキル1 | ククリ | 上段 | (550/-100/1)
[マチェット] スキル2 | システマ | 上段 | (350/0/2)
[マチェット] スキル3 | ディフェンドゥ | 中段 | (100/300/1)
[マチェット] スキル4 | ゼロレンジ | 中段 | (350/0/2)
[マチェット] スキル5 | コンバットアーツ | 下段 | (100/200/2)
[苗刀] スキル1 | 激風 | 上段 | (400/-50/2)
[苗刀] スキル2 | 雷震 | 中段 | (500/-100/2)
[苗刀] スキル3 | 悔恨 | 下段 | (350/-50/3)
[苗刀] スキル4 | 心頭滅却 | 奥義 | (100/200/1)
[苗刀] スキル5 | 流水 | 無形 | (300/100/2)
[太極剣] スキル1 | 上刺 | 上段 | (300/100/2)
[太極剣] スキル2 | 斜帯 | 中段 | (350/0/1)
[太極剣] スキル3 | 平帯 | 中段 | (100/200/1)
[太極剣] スキル4 | 掄劈 | 下段 | (400/-50/2)
[太極剣] スキル5 | 反刺 | 無形 | (200/200/1)
[竹槍] スキル1 | スパイク | 上段 | (400/-50/2)
[竹槍] スキル2 | スキューア | 中段 | (250/0/3)
[竹槍] スキル3 | トリッピング | 下段 | (250/100/2)
[竹槍] スキル4 | パンジステーク | 下段 | (500/-100/2)
[竹槍] スキル5 | バンブーランス | 無形 | (500/-100/1)
[マジックワンド] スキル1 | プロテクション | 上段 | (-50/250/1)
[マジックワンド] スキル2 | アーケインレイド | 中段 | (450/-100/2)
[マジックワンド] スキル3 | フラッシュムーブ | 下段 | (200/150/1)
[マジックワンド] スキル4 | ドラゴンブレス | 奥義 | (300/-100/1)
[マジックワンド] スキル5 | リフレクション | 無形 | (200/200/1)
[金剛杵] スキル1 | 岩開 | 上段 | (350/-50/2)
[金剛杵] スキル2 | 祓魔 | 中段 | (250/0/2)
[金剛杵] スキル3 | 苦無 | 下段 | (450/-100/1)
[金剛杵] スキル4 | 雷霆 | 奥義 | (300/0/1)
[金剛杵] スキル5 | 金剛 | 無形 | (-200/400/1)
[トライデント] スキル1 | パージ | 上段 | (350/0/1)
[トライデント] スキル2 | ウイニングヒット | 中段 | (300/-50/1)
[トライデント] スキル3 | サプライザー | 下段 | (250/0/1)
[トライデント] スキル4 | ライノチャージ | 奥義 | (450/-150/1)
[トライデント] スキル5 | パフォーマンス | 無形 | (350/-50/1)
[薙刀] スキル1 | 銀鉤 | 上段 | (200/100/2)
[薙刀] スキル2 | 待宵 | 中段 | (250/50/2)
[薙刀] スキル3 | 嫦娥 | 下段 | (400/-100/1)
[薙刀] スキル4 | 盈月 | 奥義 | (250/200/1)
[薙刀] スキル5 | 空明 | 無形 | (200/200/1)
[棍棒] スキル1 | ブラント | 上段 | (300/50/1)
[棍棒] スキル2 | ブロウ | 中段 | (300/50/1)
[棍棒] スキル3 | クエイク | 下段 | (400/-50/1)
[棍棒] スキル4 | デッドリーブロウ | 奥義 | (350/-50/1)
[棍棒] スキル5 | ブルートフォース | 無形 | (500/0/1)
[鎖鎌] スキル1 | 鎧砕き | 中段 | (300/0/2)
[鎖鎌] スキル2 | 藪刈り | 下段 | (200/50/2)
[鎖鎌] スキル3 | 飛錘 | 奥義 | (250/100/1)
[鎖鎌] スキル4 | 連刺 | 無形 | (400/50/2)
[鎖鎌] スキル5 | 旋空 | 無形 | (50/200/3)
[ウォーピック] スキル1 | プラヴェシュ | 上段 | (450/-50/1)
[ウォーピック] スキル2 | ドル・ホ・ジャオ | 中段 | (300/0/3)
[ウォーピック] スキル3 | ヒマラム | 下段 | (400/-50/1)
[ウォーピック] スキル4 | インドラ | 奥義 | (300/0/1)
[ウォーピック] スキル5 | サンプ | 無形 | (150/0/3)
[ツーブレイデッド] スキル1 | クイックターン | 中段 | (300/50/2)
[ツーブレイデッド] スキル2 | ブロッキング | 中段 | (-200/200/2)
[ツーブレイデッド] スキル3 | スワロー | 下段 | (400/0/1)
[ツーブレイデッド] スキル4 | プロペラ | 奥義 | (50/100/1)
[ツーブレイデッド] スキル5 | ソードダンス | 奥義 | (300/-100/1)
[ナックルダスター] スキル1 | ジャブ | 中段 | (50/50/5)
[ナックルダスター] スキル2 | ストレート | 中段 | (250/0/3)
[ナックルダスター] スキル3 | アッパー | 中段 | (500/-100/1)
[ナックルダスター] スキル4 | デンプシーロール | 奥義 | (500/-300/1)
[ナックルダスター] スキル5 | クロスカウンター | 無形 | (500/-200/2)
[コイルソード] スキル1 | アグニ | 上段 | (350/-50/2)
[コイルソード] スキル2 | ヴァーユ | 中段 | (400/-50/2)
[コイルソード] スキル3 | アシュマカ | 下段 | (100/150/2)
[コイルソード] スキル4 | ドゥルガー | 奥義 | (350/-100/1)
[コイルソード] スキル5 | ウルミ | 無形 | (450/-50/2)
[シャベル] スキル1 | アサルト | 中段 | (350/50/2)
[シャベル] スキル2 | ディグ | 下段 | (150/150/2)
[シャベル] スキル3 | エクスカベート | 下段 | (600/-100/1)
[シャベル] スキル4 | トレンチ | 奥義 | (0/300/1)
[シャベル] スキル5 | ピットフォール | 無形 | (350/50/2)
[ドリルスピア] スキル1 | トンネリング | 中段 | (250/50/2)
[ドリルスピア] スキル2 | パーフォレイト | 中段 | (500/-100/2)
[ドリルスピア] スキル3 | ボーリング | 下段 | (100/150/2)
[ドリルスピア] スキル4 | ブラストホール | 奥義 | (300/-100/1)
[ドリルスピア] スキル5 | アースオーガ | 無形 | (500/-50/1)
[カランビット] スキル1 | ビースティング | 上段 | (350/0/2)
[カランビット] スキル2 | スピンエッジ | 中段 | (300/50/2)
[カランビット] スキル3 | グラップル | 中段 | (50/250/1)
[カランビット] スキル4 | バタフライ | 奥義 | (50/50/2)
[カランビット] スキル5 | バックスタブ | 無形 | (400/100/1)
[カッツバルゲル] スキル1 | スナップカット | 上段 | (350/0/1)
[カッツバルゲル] スキル2 | カービングエッジ | 中段 | (250/0/3)
[カッツバルゲル] スキル3 | ロースラスト | 下段 | (300/0/2)
[カッツバルゲル] スキル4 | シュヴェアタンツ | 奥義 | (100/0/2)
[カッツバルゲル] スキル5 | バルゲン | 無形 | (150/150/2)
[シザーズブレイド] スキル1 | イレイザー | 上段 | (400/-100/2)
[シザーズブレイド] スキル2 | シャープナー | 中段 | (200/100/2)
[シザーズブレイド] スキル3 | コンパス | 下段 | (100/200/1)
[シザーズブレイド] スキル4 | シザーズ | 奥義 | (350/-100/1)
[シザーズブレイド] スキル5 | バインダー | 無形 | (150/200/1)
[長短対剣] スキル1 | ダイアゴナル | 上段 | (300/0/2)
[長短対剣] スキル2 | ブルワーク | 中段 | (0/250/1)
[長短対剣] スキル3 | クロスオーバー | 中段 | (450/-50/1)
[長短対剣] スキル4 | ロワースラッシュ | 下段 | (300/0/2)
[長短対剣] スキル5 | ラプチャー | 奥義 | (150/50/2)
[アンブレラ] スキル1 | フローリッシュ | 上段 | (450/-100/1)
[アンブレラ] スキル2 | チッププリック | 中段 | (150/150/2)
[アンブレラ] スキル3 | ブレラツイスト | 下段 | (300/0/2)
[アンブレラ] スキル4 | スプラッシュ | 奥義 | (200/150/1)
[アンブレラ] スキル5 | パラソル | 無形 | (150/200/1)
[クローファング] スキル1 | 噛みつく | 上段 | (350/0/2)
[クローファング] スキル2 | 切り裂く | 中段 | (250/0/3)
[クローファング] スキル3 | 喰らいつく | 奥義 | (200/0/1)
[クローファング] スキル4 | 追い詰める | 無形 | (350/50/2)
[クローファング] スキル5 | 唸り上げる | 無形 | (100/200/2)
[ゴルフクラブ] スキル1 | アイアン | 下段 | (300/50/2)
[ゴルフクラブ] スキル2 | ドライバー | 下段 | (500/0/1)
[ゴルフクラブ] スキル3 | パター | 下段 | (100/200/1)
[ゴルフクラブ] スキル4 | アプローチ | 奥義 | (200/100/1)
[ゴルフクラブ] スキル5 | サンドウェッジ | 無形 | (0/250/2)
[バトルヨーヨー] スキル1 | シャトルループ | 上段 | (200/50/3)
[バトルヨーヨー] スキル2 | フォワードパス | 中段 | (400/-50/2)
[バトルヨーヨー] スキル3 | ウォークザドッグ | 下段 | (250/50/2)
[バトルヨーヨー] スキル4 | ラウンザワールド | 奥義 | (200/250/1)
[バトルヨーヨー] スキル5 | ディアボロス | 無形 | (250/100/3)
[連接剣] スキル1 | グラインド | 上段 | (350/0/2)
[連接剣] スキル2 | インペイル | 下段 | (350/0/2)
[連接剣] スキル3 | エングレイヴ | 奥義 | (300/-50/1)
[連接剣] スキル4 | ヘリックス | 無形 | (50/250/1)
[連接剣] スキル5 | オヒュカス | 無形 | (550/-50/1)
[ソーブレイド] スキル1 | クリーヴ | 上段 | (600/-150/1)
[ソーブレイド] スキル2 | スプリット | 中段 | (550/-100/1)
[ソーブレイド] スキル3 | ティアーアップ | 下段 | (550/-100/1)
